#Time,DropRate
0,0.0
1000000000,0.0
2000000000,0.0
3000000000,0.0
4000000000,0.0
5000000000,0.0
6000000000,0.0
7000000000,0.0
8000000000,0.0
9000000000,0.0
10000000000,0.0
11000000000,0.0
12000000000,0.0
13000000000,0.0
14000000000,0.20342857142857143
15000000000,0.29822732012513037
16000000000,0.32934131736526945
17000000000,0.38235294117647056
18000000000,0.421551724137931
19000000000,0.4554294975688817
20000000000,0.47748447204968947
21000000000,0.5007429420505201
22000000000,0.5310104529616725
23000000000,0.5514018691588785
24000000000,0.574238578680203
25000000000,0.5881272949816402
26000000000,0.5888480392156863
27000000000,0.5638366817887233
28000000000,0.5529646902065289
29000000000,0.5189421015010722
30000000000,0.4992537313432836
31000000000,0.47421875
32000000000,0.4490968801313629
33000000000,0.4223175965665236
34000000000,0.3896457765667575
35000000000,0.34215686274509804
36000000000,0.30690010298661174
37000000000,0.2366325369738339
38000000000,0.10160427807486631
39000000000,0.0
40000000000,0.0
41000000000,0.0
42000000000,0.0
43000000000,0.0
44000000000,0.0
45000000000,0.0
46000000000,0.0
47000000000,0.0
48000000000,0.0
49000000000,0.0
