#Time, Throughput
0,0
1,0
2,0
3,0
4,0
5,810019.0
6,812824.0
7,820307.0
8,833240.0
9,843212.0
10,0
11,0
12,0
13,0
14,0
15,816591.0
16,814488.0
17,818934.0
18,813564.0
19,821260.0
20,0
21,0
22,0
23,0
24,0
25,826042.0
26,822966.0
27,810102.0
28,826879.0
29,829416.0
30,0
31,0
32,0
33,0
34,0
35,843662.0
36,836693.0
37,836840.0
38,846753.0
39,835993.0
40,0
41,0
42,0
43,0
44,0
