Time 	as_src 	ip_dst 	ip_src 	port_dst 	port_src 
"November 5th 2015, 02:50:03.359"	"17,974"	REDACTED	180.250.53.146	"55,151"	53
"November 5th 2015, 02:50:03.360"	"4,788"	REDACTED	1.9.74.133	"30,798"	53
"November 5th 2015, 02:50:03.361"	"17,974"	REDACTED	36.74.75.106	"10,907"	53
"November 5th 2015, 02:50:03.362"	"28,840"	REDACTED	178.204.7.185	"56,328"	53
"November 5th 2015, 02:50:03.364"	0	REDACTED	80.249.210.139	0	0
"November 5th 2015, 02:50:03.364"	"17,974"	REDACTED	180.250.16.92	"2,262"	53
"November 5th 2015, 02:50:03.365"	"263,189"	REDACTED	179.43.98.231	"49,428"	53
"November 5th 2015, 02:50:03.366"	"17,974"	REDACTED	118.97.250.90	"17,194"	53
"November 5th 2015, 02:50:03.367"	"63,859"	REDACTED	66.96.252.14	"1,270"	53
"November 5th 2015, 02:50:03.369"	"17,974"	REDACTED	36.78.50.99	"20,601"	53
"November 5th 2015, 02:50:03.370"	"17,974"	REDACTED	222.124.130.145	"14,095"	53
"November 5th 2015, 02:50:03.371"	"29,300"	REDACTED	84.247.140.1	"27,770"	53
"November 5th 2015, 02:50:03.371"	"8,675"	REDACTED	94.28.242.99	"28,273"	53
"November 5th 2015, 02:50:03.372"	"34,315"	REDACTED	151.237.225.187	"31,171"	53
"November 5th 2015, 02:50:03.372"	"21,228"	REDACTED	192.162.233.164	"44,363"	53
"November 5th 2015, 02:50:03.373"	"131,178"	REDACTED	103.12.161.217	"51,030"	53
"November 5th 2015, 02:50:03.374"	"49,037"	REDACTED	95.174.102.78	"60,940"	53
"November 5th 2015, 02:50:03.374"	"17,974"	REDACTED	36.76.73.178	0	0
"November 5th 2015, 02:50:03.375"	"42,187"	REDACTED	78.41.94.27	"3,763"	53
"November 5th 2015, 02:50:03.376"	"131,178"	REDACTED	103.12.160.4	0	0
"November 5th 2015, 02:50:03.376"	"24,881"	REDACTED	46.162.19.109	"12,766"	53
"November 5th 2015, 02:50:03.377"	"41,599"	REDACTED	84.38.186.86	"41,360"	53
"November 5th 2015, 02:50:03.378"	"31,549"	REDACTED	94.183.184.76	0	0
"November 5th 2015, 02:50:03.378"	"15,311"	REDACTED	186.103.138.98	"16,810"	53
"November 5th 2015, 02:50:03.379"	"6,568"	REDACTED	200.87.98.139	"65,531"	53
"November 5th 2015, 02:50:03.379"	"49,893"	REDACTED	89.22.150.108	0	0
"November 5th 2015, 02:50:03.380"	"17,974"	REDACTED	36.78.41.226	0	0
"November 5th 2015, 02:50:03.381"	"17,974"	REDACTED	125.162.174.235	"54,087"	53
"November 5th 2015, 02:50:03.383"	"31,549"	REDACTED	94.183.185.110	"40,645"	53
"November 5th 2015, 02:50:03.383"	"21,412"	REDACTED	178.16.41.8	0	0
"November 5th 2015, 02:50:03.384"	"4,788"	REDACTED	175.139.214.253	0	0
"November 5th 2015, 02:50:03.384"	"57,227"	REDACTED	81.163.36.137	0	0
"November 5th 2015, 02:50:03.386"	"49,515"	REDACTED	188.95.33.229	0	0
"November 5th 2015, 02:50:03.387"	"31,655"	REDACTED	164.39.135.240	0	0
"November 5th 2015, 02:50:03.388"	"33,070"	REDACTED	98.129.237.13	"56,353"	53
"November 5th 2015, 02:50:03.388"	"263,185"	REDACTED	179.43.80.58	0	0
"November 5th 2015, 02:50:03.389"	"21,453"	REDACTED	178.167.76.39	0	0
"November 5th 2015, 02:50:03.390"	"201,725"	REDACTED	91.231.244.3	"29,251"	53
"November 5th 2015, 02:50:03.391"	"8,749"	REDACTED	46.183.135.179	"1,523"	53
