#Threshold,HH_FPR,FIFO_FPR,ACCTurbo_FPR
1,99.1795484566648,89.8465164452655,14.7929488661674
10,98.4193871877787,89.8465164452655,14.7929488661674
10^2,89.8177853018634,89.8465164452655,14.7929488661674
10^3,34.0619080525886,89.8465164452655,14.7929488661674
10^4,3.96665487600178,89.8465164452655,14.7929488661674
10^5,1.15601267451613,89.8465164452655,14.7929488661674
10^6,10.589214695585,89.8465164452655,14.7929488661674
3·10^6,31.3683759300548,89.8465164452655,14.7929488661674
5·10^6,52.1264910094707,89.8465164452655,14.7929488661674
7·10^6,73.0571633255857,89.8465164452655,14.7929488661674
10^7,89.6453129920954,89.8465164452655,14.7929488661674
10^8,89.8765492322431,89.8465164452655,14.7929488661674
