#Time, Throughput
0,2.10215568
1,2.153061728
2,2.12175624
3,2.068505216
4,2.07508252
5,2.02164288
6,1.915595928
7,1.96083972
8,1.948559216
9,2.131751968
10,2.132258544
11,2.110554752
12,2.080937272
13,2.067214624
14,2.0627326
15,1.657394952
16,1.861327888
17,2.038871584
18,1.78298276
19,1.843407728
20,1.545177336
21,2.131824352
22,2.119613824
23,2.09352116
24,2.123698392
25,1.992685328
26,1.8547272
27,1.843297352
28,1.898715112
29,1.871736944
30,2.145218744
31,2.179313624
32,2.161887568
33,2.149734432
34,2.191345664
35,1.573460736
36,1.933726256
37,1.905997176
38,2.168498136
39,2.07697316
40,2.126707776
41,2.132443136
42,2.1628214
43,2.094087992
44,2.163244312
