#Time, Throughput
0,10775.0
1,10991.0
2,9571.0
3,8988.0
4,7115.0
5,23905.0
6,73784.0
7,79241.0
8,117787.0
9,43964.0
10,11370.0
11,11700.0
12,7473.0
13,7955.0
14,23813.0
15,194858.0
16,109838.0
17,55095.0
18,163710.0
19,117757.0
20,5983.0
21,9446.0
22,4779.0
23,14873.0
24,26627.0
25,80442.0
26,123630.0
27,121869.0
28,117370.0
29,76546.0
30,8967.0
31,16343.0
32,11026.0
33,12550.0
34,140893.0
35,219201.0
36,111281.0
37,79143.0
38,47357.0
39,36851.0
40,12088.0
41,8559.0
42,12755.0
43,11873.0
44,4806.0
