#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,50011680.0
7000000000,50047392.0
8000000000,49905288.0
9000000000,50029536.0
10000000000,50092032.0
11000000000,4464.0
12000000000,744.0
13000000000,0
14000000000,0
15000000000,0
16000000000,50040696.0
17000000000,49986384.0
18000000000,49999776.0
19000000000,50085336.0
20000000000,49971504.0
21000000000,9672.0
22000000000,3720.0
23000000000,1488.0
24000000000,1488.0
25000000000,2232.0
26000000000,49917192.0
27000000000,49893384.0
28000000000,49926120.0
29000000000,49937280.0
30000000000,49989360.0
31000000000,10416.0
32000000000,0
33000000000,0
34000000000,0
35000000000,0
36000000000,49844280.0
37000000000,49952904.0
38000000000,50052600.0
39000000000,50000520.0
40000000000,50069712.0
41000000000,8928.0
42000000000,3720.0
43000000000,0
44000000000,7440.0
45000000000,2232.0
46000000000,6696.0
47000000000,4464.0
48000000000,0
49000000000,744.0
