#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,67704.0
14000000000,154752.0
15000000000,202368.0
16000000000,253704.0
17000000000,315456.0
18000000000,363816.0
19000000000,434496.0
20000000000,456072.0
21000000000,506664.0
22000000000,570648.0
23000000000,612312.0
24000000000,653976.0
25000000000,718704.0
26000000000,700104.0
27000000000,665136.0
28000000000,607104.0
29000000000,562464.0
30000000000,513360.0
31000000000,456072.0
32000000000,421104.0
33000000000,362328.0
34000000000,313224.0
35000000000,109368.0
36000000000,72168.0
37000000000,69192.0
38000000000,50592.0
39000000000,744.0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
